id,name,county,state,countyFips,lat,lng,confidence,sourceDate,agencyType,address,city,subStation,jurisdictionId,jurisdictionName
agency-building-detroit-lakes-police-106-holmes-street-east,Detroit Lakes Police,Becker County,MN,27005,46.8174433495748,-95.844348915623,confirmed,,Police,106 HOLMES STREET EAST,DETROIT LAKES,,,
agency-building-callaway-ogema-police-321-main-avenue,Callaway/Ogema Police,Becker County,MN,27005,46.9812540005979,-95.909637499394,confirmed,,Police,321 MAIN AVENUE,CALLAWAY,,,
agency-building-minnesota-state-highway-patrol-1000-state-highway-10-west,Minnesota State Highway Patrol,Becker County,MN,27005,46.8232472005152,-95.859937200187,confirmed,,Other,1000 STATE HIGHWAY 10 WEST,DETROIT LAKES,,,
agency-building-white-earth-police-26246-crane-rd,White Earth Police,Becker County,MN,27005,47.0852649586521,-95.8617560128546,confirmed,,Police,26246 Crane Rd,White Earth,,,
agency-building-becker-county-jail-1428-stony-rd,Becker County Jail,Becker County,MN,27005,46.843320418301,-95.8588410704874,confirmed,,Other,1428 Stony Rd,Detroit Lakes,,,
agency-building-detroit-lakes-police-807-summit-ave,Detroit Lakes Police,Becker County,MN,27005,46.8182503965894,-95.8492120361435,confirmed,,Police,807 summit ave,Detroit Lakes,,,
agency-building-north-branch-police-6408-elm-street,North Branch Police,Chisago County,MN,27025,45.5128853003075,-92.9784069999125,confirmed,,Police,6408 ELM STREET,NORTH BRANCH,,agency-jurisdiction-north-branch-police,North Branch Police
agency-building-wyoming-police-7665-wyoming-trail,Wyoming Police,Chisago County,MN,27025,45.3332647997621,-92.9498075006037,confirmed,,Police,7665 WYOMING TRAIL,WYOMING,,agency-jurisdiction-wyoming-police,Wyoming Police
agency-building-rush-city-police-325-south-eliot-avenue,Rush City Police,Chisago County,MN,27025,45.6855000998945,-92.9666252006008,confirmed,,Police,325 SOUTH ELIOT AVENUE,RUSH CITY,,,
agency-building-chisago-county-sheriff-15230-per-road,Chisago County Sheriff,Chisago County,MN,27025,45.3855479950049,-92.7983269990326,confirmed,,Sheriff,15230 Per Road,CENTER CITY,,agency-jurisdiction-chisago-county-sheriff,Chisago County Sheriff
agency-building-taylor-s-falls-sheriff-637-1st-st,Taylor'S Falls Sheriff,Chisago County,MN,27025,45.4018739319049,-92.6637379473469,confirmed,,Sheriff,637 1st St,Taylors Falls,,,
agency-building-lakes-area-police-13292-sylvan-avenue,Lakes Area Police,Chisago County,MN,27025,45.3885160002121,-92.8367313015455,confirmed,,Police,13292 SYLVAN AVENUE,LINDSTROM,,agency-jurisdiction-lakes-area-police,Lakes Area Police
agency-building-glyndon-police-218-parke-ave-s,Glyndon Police,Clay County,MN,27027,46.8743797650925,-96.5799220287993,confirmed,,Police,218 PARKE AVE S,GLYNDON,,,
agency-building-barnesville-city-police-101-front-st-s,Barnesville City Police,Clay County,MN,27027,46.6532009618452,-96.4203266113805,confirmed,,Police,101 FRONT ST S,BARNESVILLE,,,
agency-building-dilworth-police-500-center-ave-w,Dilworth Police,Clay County,MN,27027,46.8759378391609,-96.7106299982331,confirmed,,Police,500 CENTER AVE W,DILWORTH,,,
agency-building-clay-county-and-moorhead-police-911-11-st-n,Clay County And Moorhead Police,Clay County,MN,27027,46.8852949617641,-96.7634206304766,confirmed,,Police,911 11 ST N,MOORHEAD,,,
agency-building-hawley-city-police-818-front-st,Hawley City Police,Clay County,MN,27027,46.8790728780707,-96.3205030466048,confirmed,,Police,818 FRONT ST,HAWLEY,,,
agency-building-cottonwood-county-sheriff-902-5th-avenue-cottonwood-county-law-enforcement-center,Cottonwood County Sheriff,Cottonwood County,MN,27033,43.8656460996915,-95.1194867003453,confirmed,,Sheriff,"902 5TH AVENUE, COTTONWOOD COUNTY LAW ENFORCEMENT CENTER",WINDOM,,,
agency-building-westbrook-police-535-first-avenue,Westbrook Police,Cottonwood County,MN,27033,44.0419112111227,-95.4364487466911,confirmed,,Police,535 FIRST AVENUE,WESTBROOK,,,
agency-building-mountain-lake-police-930-3rd-avenue,Mountain Lake Police,Cottonwood County,MN,27033,43.9385055002308,-94.9307108000043,confirmed,,Police,930 3RD AVENUE,MOUNTAIN LAKE,,,
agency-building-windom-police-902-5th-ave,Windom Police,Cottonwood County,MN,27033,43.8655601207792,-95.1193875371177,confirmed,,Police,902 5th Ave,WINDOM,,,
agency-building-hastings-police-150-east-third-street,Hastings Police,Dakota County,MN,27037,44.7430090001823,-92.8515352005595,confirmed,,Police,150 EAST THIRD STREET,HASTINGS,,agency-jurisdiction-hastings-police,Hastings Police
agency-building-mendota-heights-police-1101-victoria-curve,Mendota Heights Police,Dakota County,MN,27037,44.8852491995657,-93.1475210002178,confirmed,,Police,1101 VICTORIA CURVE,MENDOTA HEIGHTS,,agency-jurisdiction-mendota-heights-police,Mendota Heights Police
agency-building-dakota-county-law-enforcement-1580-state-highway-55,Dakota County Sheriff,Dakota County,MN,27037,44.7413670999823,-92.8862970995982,confirmed,,Sheriff,1580 STATE HIGHWAY 55,HASTINGS,,agency-jurisdiction-dakota-county-sheriff,Dakota County Sheriff
