id,name,county,state,countyFips,lat,lng,confidence,sourceDate,operator,operatorType,manufacturer,cameraType,direction,zone,surveillance,osmId,osmUrl,crossSourceSiteId,crossSourceCount,crossSourceMeters,crossSourceThresholdM,crossSourceContested,crossSourceAnchorAmbiguous,crossSourceAgencyName
alpr-osm-13312156804,ALPR camera,Hennepin County,MN,27053,44.9364282,-93.3876569,probabilistic,,,Not recorded,Motorola Solutions,fixed,50,,,13312156804,https://www.openstreetmap.org/node/13312156804,,0,,50,false,false,
alpr-osm-13312171399,ALPR camera,Hennepin County,MN,27053,44.9451246,-93.4209994,probabilistic,,,Not recorded,Motorola Solutions,fixed,180,,,13312171399,https://www.openstreetmap.org/node/13312171399,,0,,50,false,false,
alpr-osm-13312171400,ALPR camera,Hennepin County,MN,27053,44.9450183,-93.4213468,probabilistic,,,Not recorded,Motorola Solutions,fixed,90,,,13312171400,https://www.openstreetmap.org/node/13312171400,,0,,50,false,false,
alpr-osm-13312172201,ALPR camera,Hennepin County,MN,27053,44.944967,-93.4208741,probabilistic,,,Not recorded,Motorola Solutions,fixed,270,,,13312172201,https://www.openstreetmap.org/node/13312172201,,0,,50,false,false,
alpr-osm-13312172202,ALPR camera,Hennepin County,MN,27053,44.9451194,-93.4208814,probabilistic,,,Not recorded,Motorola Solutions,fixed,220,,,13312172202,https://www.openstreetmap.org/node/13312172202,,0,,50,false,false,
alpr-osm-13312172203,ALPR camera,Hennepin County,MN,27053,44.9448522,-93.4211872,probabilistic,,,Not recorded,Motorola Solutions,fixed,0,,,13312172203,https://www.openstreetmap.org/node/13312172203,,0,,50,false,false,
alpr-osm-13312172265,ALPR camera,Hennepin County,MN,27053,44.9275824,-93.502715,probabilistic,,,Not recorded,Motorola Solutions,fixed,310,,,13312172265,https://www.openstreetmap.org/node/13312172265,,0,,50,false,false,
alpr-osm-13312172266,ALPR camera,Hennepin County,MN,27053,44.9277077,-93.5030556,probabilistic,,,Not recorded,Motorola Solutions,fixed,90,,,13312172266,https://www.openstreetmap.org/node/13312172266,,0,,50,false,false,
alpr-osm-13312172267,ALPR camera,Hennepin County,MN,27053,44.9276583,-93.502719,probabilistic,,,Not recorded,Motorola Solutions,fixed,270,,,13312172267,https://www.openstreetmap.org/node/13312172267,,0,,50,false,false,
alpr-osm-13312172268,ALPR camera,Hennepin County,MN,27053,44.9275805,-93.5029443,probabilistic,,,Not recorded,Motorola Solutions,fixed,0,,,13312172268,https://www.openstreetmap.org/node/13312172268,,0,,50,false,false,
alpr-osm-13312172269,ALPR camera,Hennepin County,MN,27053,44.927833,-93.5028504,probabilistic,,,Not recorded,Motorola Solutions,fixed,180,,,13312172269,https://www.openstreetmap.org/node/13312172269,,0,,50,false,false,
alpr-osm-13312178643,ALPR camera,Hennepin County,MN,27053,44.9380165,-93.4671415,probabilistic,,,Not recorded,Motorola Solutions,fixed,120,,,13312178643,https://www.openstreetmap.org/node/13312178643,,0,,50,false,false,
alpr-osm-13312178644,ALPR camera,Hennepin County,MN,27053,44.9388034,-93.4677175,probabilistic,,,Not recorded,Flock Safety,fixed,10,,,13312178644,https://www.openstreetmap.org/node/13312178644,,0,,50,false,false,
alpr-osm-13312179049,ALPR camera,Hennepin County,MN,27053,44.9220769,-93.4682466,probabilistic,,,Not recorded,Motorola Solutions,fixed,100,,,13312179049,https://www.openstreetmap.org/node/13312179049,,0,,50,false,false,
alpr-osm-13314616901,ALPR camera,Hennepin County,MN,27053,45.0592895,-93.3144141,probabilistic,,,Not recorded,Flock Safety,fixed,243,traffic,public,13314616901,https://www.openstreetmap.org/node/13314616901,,0,,50,false,false,
alpr-osm-13314635101,ALPR camera,Hennepin County,MN,27053,45.0601218,-93.3200505,probabilistic,,,Not recorded,Flock Safety,fixed,279,traffic,public,13314635101,https://www.openstreetmap.org/node/13314635101,,0,,50,false,false,
alpr-osm-13314638301,ALPR camera,Hennepin County,MN,27053,45.0602267,-93.3203709,probabilistic,,,Not recorded,Flock Safety,fixed,139,traffic,public,13314638301,https://www.openstreetmap.org/node/13314638301,,0,,50,false,false,
alpr-osm-13314920301,ALPR camera,Steele County,MN,27147,44.0616842,-93.2260212,probabilistic,,,Not recorded,Flock Safety,fixed,348,traffic,public,13314920301,https://www.openstreetmap.org/node/13314920301,cross-alpr-reported-owatonna-police-department-south-cedar-at-22nd-street-northbound,1,15,50,false,false,Owatonna Police Department
alpr-osm-13315019301,ALPR camera,Hennepin County,MN,27053,44.9028774,-93.3100914,probabilistic,,,Not recorded,Flock Safety,fixed,0,traffic,public,13315019301,https://www.openstreetmap.org/node/13315019301,,0,,50,false,false,
alpr-osm-13315690053,ALPR camera,Hennepin County,MN,27053,44.9661339,-93.7472711,probabilistic,,,Not recorded,Flock Safety,,144,traffic,camera,13315690053,https://www.openstreetmap.org/node/13315690053,,0,,50,false,false,
alpr-osm-13315728001,ALPR camera,Hennepin County,MN,27053,45.0665697,-93.3088463,probabilistic,,,Not recorded,Flock Safety,fixed,343,traffic,public,13315728001,https://www.openstreetmap.org/node/13315728001,cross-alpr-reported-brooklyn-center-police-department-shingle-creek-parkway-and-summit-drive-north,1,11,50,false,false,Brooklyn Center Police Department
alpr-osm-13316074113,ALPR camera,Hennepin County,MN,27053,44.8892927,-93.3687467,probabilistic,,,Not recorded,Flock Safety,fixed,350,traffic,,13316074113,https://www.openstreetmap.org/node/13316074113,,0,,50,false,false,
alpr-osm-13316322801,ALPR camera,Mille Lacs County,MN,27095,46.0732381,-93.6570376,probabilistic,,,Not recorded,Flock Safety,fixed,0,traffic,public,13316322801,https://www.openstreetmap.org/node/13316322801,,0,,50,false,false,
alpr-osm-13317114001,ALPR camera — Minneapolis Police Department,Hennepin County,MN,27053,44.9813707,-93.2348775,probabilistic,,Minneapolis Police Department,Police department,Insight LPR,fixed,321;109,traffic,public,13317114001,https://www.openstreetmap.org/node/13317114001,cross-alpr-reported-minneapolis-police-department-5th-street-se-and-14th-avenue-se,1,15,50,false,false,Minneapolis Police Department
alpr-osm-13318027801,ALPR camera — Minneapolis Police Department,Hennepin County,MN,27053,44.983577,-93.2433678,probabilistic,,Minneapolis Police Department,Police department,Insight LPR,fixed,310;275,traffic,public,13318027801,https://www.openstreetmap.org/node/13318027801,,0,,50,false,false,
